uniqueID,name,value
1,Parc_1,Parc Jean-Baptiste Lebas
2,Parc_2,Parc régional des Ardennes
3,Parc_3,Parc Régional d'Armorique
4,Parc_4, Parc régional des Alpilles
5,Parc_5,Parc régional de l'Aubrac
6,Parc_6,Parc régional de l'Avesnois
7,Parc_7,Parc régional Baie de Somme Picardie Maritime
8,Parc_8,Parc régional des Ballons des Vosges
9,Parc_9,Parc régional des Baronnies provençales
10,Parc_10,Parc régional des Boucles de la Seine Normande
12,Parc_12,Parc régional de la Brenne
13,Parc_13,Parc régional de Brière
14,Parc_14,Parc régional de Camargue
15,Parc_15,Parc régional des Caps et Marais d'Opale
16,Parc_16,Parc régional des Causses du Quercy
17,Parc_17,Parc régional de Chartreuse
18,Parc_18,Parc régional de Corse-Parcu di corsica
19,Parc_19,Parc régional de la Forêt d'Orient
20,Parc_20,Parc régional du Gâtinais français
